Feature Set,Accuracy
{1},0.688
{2},0.856
{3},0.69
{4},0.702
{5},0.698
{6},0.69
{7},0.688
{8},0.676
{9},0.72
{10},0.704
{11},0.71
{12},0.742
"{1, 2}",0.812
"{2, 3}",0.844
"{2, 4}",0.838
"{2, 5}",0.838
"{2, 6}",0.808
"{2, 7}",0.836
"{8, 2}",0.84
"{9, 2}",0.844
"{2, 10}",0.844
"{2, 11}",0.836
"{2, 12}",0.968
"{1, 2, 12}",0.924
"{2, 3, 12}",0.93
"{2, 12, 4}",0.942
"{2, 12, 5}",0.942
"{2, 12, 6}",0.926
"{2, 12, 7}",0.932
"{8, 2, 12}",0.946
"{9, 2, 12}",0.928
"{2, 10, 12}",0.932
"{2, 11, 12}",0.94
